Время посещения,Время измерения,Вход со стороны Иорданской лестницы,Вход со стороны Церковной лестницы,Вход со стороны Шуваловского проезда,Входной билет в Главный Штаб
2025-05-08 11:00:00,2025-05-07 12:00:00,100,100,100,100
2025-05-08 11:30:00,2025-05-07 12:00:00,100,100,100,100
2025-05-08 12:00:00,2025-05-07 12:00:00,100,100,100,100
2025-05-08 12:30:00,2025-05-07 12:00:00,100,100,100,100
2025-05-08 13:00:00,2025-05-07 12:00:00,100,100,100,100
2025-05-08 13:30:00,2025-05-07 12:00:00,100,100,100,100
2025-05-08 14:00:00,2025-05-07 12:00:00,100,100,100,100
2025-05-08 14:30:00,2025-05-07 12:00:00,100,100,100,100
2025-05-08 15:00:00,2025-05-07 12:00:00,100,100,100,100
2025-05-08 15:30:00,2025-05-07 12:00:00,100,100,100,100
2025-05-08 16:00:00,2025-05-07 12:00:00,100,100,100,100
2025-05-08 11:00:00,2025-05-07 12:12:50,69,54,36,69
2025-05-08 11:30:00,2025-05-07 12:12:50,85,54,42,78
2025-05-08 12:00:00,2025-05-07 12:12:50,88,55,45,73
2025-05-08 12:30:00,2025-05-07 12:12:50,85,57,48,72
2025-05-08 13:00:00,2025-05-07 12:12:50,79,58,42,77
2025-05-08 13:30:00,2025-05-07 12:12:50,92,57,49,77
2025-05-08 14:00:00,2025-05-07 12:12:50,82,60,45,67
2025-05-08 14:30:00,2025-05-07 12:12:50,84,60,45,75
2025-05-08 15:00:00,2025-05-07 12:12:50,0,55,41,70
2025-05-08 15:30:00,2025-05-07 12:12:50,83,60,50,74
2025-05-08 16:00:00,2025-05-07 12:12:50,84,51,38,71
2025-05-08 11:00:00,2025-05-07 12:12:55,69,54,36,69
2025-05-08 11:30:00,2025-05-07 12:12:55,85,54,42,78
2025-05-08 12:00:00,2025-05-07 12:12:55,88,55,45,73
2025-05-08 12:30:00,2025-05-07 12:12:55,82,57,48,70
2025-05-08 13:00:00,2025-05-07 12:12:55,79,58,42,77
2025-05-08 13:30:00,2025-05-07 12:12:55,92,57,49,77
2025-05-08 14:00:00,2025-05-07 12:12:55,82,57,45,67
2025-05-08 14:30:00,2025-05-07 12:12:55,79,60,45,75
2025-05-08 15:00:00,2025-05-07 12:12:55,0,55,41,70
2025-05-08 15:30:00,2025-05-07 12:12:55,83,60,50,74
2025-05-08 16:00:00,2025-05-07 12:12:55,84,51,38,71
2025-05-08 11:00:00,2025-05-07 12:13:00,59,54,36,69
2025-05-08 11:30:00,2025-05-07 12:13:00,85,54,40,78
2025-05-08 12:00:00,2025-05-07 12:13:00,88,55,42,73
2025-05-08 12:30:00,2025-05-07 12:13:00,82,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:00,79,58,42,77
2025-05-08 13:30:00,2025-05-07 12:13:00,92,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:00,82,57,45,67
2025-05-08 14:30:00,2025-05-07 12:13:00,79,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:00,0,55,40,70
2025-05-08 15:30:00,2025-05-07 12:13:00,83,60,50,74
2025-05-08 16:00:00,2025-05-07 12:13:00,84,51,38,71
2025-05-08 11:00:00,2025-05-07 12:13:05,59,54,36,69
2025-05-08 11:30:00,2025-05-07 12:13:05,85,54,40,78
2025-05-08 12:00:00,2025-05-07 12:13:05,87,55,42,73
2025-05-08 12:30:00,2025-05-07 12:13:05,82,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:05,79,58,42,77
2025-05-08 13:30:00,2025-05-07 12:13:05,92,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:05,79,57,45,67
2025-05-08 14:30:00,2025-05-07 12:13:05,79,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:05,0,55,40,70
2025-05-08 15:30:00,2025-05-07 12:13:05,83,60,50,74
2025-05-08 16:00:00,2025-05-07 12:13:05,84,51,38,70
2025-05-08 11:00:00,2025-05-07 12:13:10,59,54,33,69
2025-05-08 11:30:00,2025-05-07 12:13:10,85,54,40,78
2025-05-08 12:00:00,2025-05-07 12:13:10,87,55,42,73
2025-05-08 12:30:00,2025-05-07 12:13:10,82,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:10,79,58,42,77
2025-05-08 13:30:00,2025-05-07 12:13:10,92,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:10,79,57,45,67
2025-05-08 14:30:00,2025-05-07 12:13:10,79,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:10,0,55,40,70
2025-05-08 15:30:00,2025-05-07 12:13:10,83,60,50,74
2025-05-08 16:00:00,2025-05-07 12:13:10,84,51,38,70
2025-05-08 11:00:00,2025-05-07 12:13:15,59,54,33,67
2025-05-08 11:30:00,2025-05-07 12:13:15,85,51,40,78
2025-05-08 12:00:00,2025-05-07 12:13:15,87,55,42,73
2025-05-08 12:30:00,2025-05-07 12:13:15,82,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:15,79,56,42,77
2025-05-08 13:30:00,2025-05-07 12:13:15,92,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:15,79,57,45,67
2025-05-08 14:30:00,2025-05-07 12:13:15,79,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:15,0,55,40,68
2025-05-08 15:30:00,2025-05-07 12:13:15,83,60,50,72
2025-05-08 16:00:00,2025-05-07 12:13:15,84,51,38,70
2025-05-08 11:00:00,2025-05-07 12:13:20,59,54,33,67
2025-05-08 11:30:00,2025-05-07 12:13:20,85,51,40,78
2025-05-08 12:00:00,2025-05-07 12:13:20,87,55,42,73
2025-05-08 12:30:00,2025-05-07 12:13:20,82,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:20,79,56,42,77
2025-05-08 13:30:00,2025-05-07 12:13:20,92,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:20,79,57,45,67
2025-05-08 14:30:00,2025-05-07 12:13:20,79,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:20,0,55,40,68
2025-05-08 15:30:00,2025-05-07 12:13:20,81,60,50,72
2025-05-08 16:00:00,2025-05-07 12:13:20,82,51,38,70
2025-05-08 11:00:00,2025-05-07 12:13:25,59,54,33,67
2025-05-08 11:30:00,2025-05-07 12:13:25,85,51,40,78
2025-05-08 12:00:00,2025-05-07 12:13:25,87,55,42,71
2025-05-08 12:30:00,2025-05-07 12:13:25,77,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:25,79,56,42,77
2025-05-08 13:30:00,2025-05-07 12:13:25,92,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:25,79,57,45,67
2025-05-08 14:30:00,2025-05-07 12:13:25,77,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:25,0,55,40,68
2025-05-08 15:30:00,2025-05-07 12:13:25,81,60,50,72
2025-05-08 16:00:00,2025-05-07 12:13:25,82,51,38,70
2025-05-08 11:00:00,2025-05-07 12:13:30,57,54,33,67
2025-05-08 11:30:00,2025-05-07 12:13:30,83,51,40,78
2025-05-08 12:00:00,2025-05-07 12:13:30,87,55,39,71
2025-05-08 12:30:00,2025-05-07 12:13:30,77,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:30,79,56,42,77
2025-05-08 13:30:00,2025-05-07 12:13:30,92,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:30,79,54,45,67
2025-05-08 14:30:00,2025-05-07 12:13:30,77,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:30,0,55,40,68
2025-05-08 15:30:00,2025-05-07 12:13:30,81,60,50,72
2025-05-08 16:00:00,2025-05-07 12:13:30,82,51,38,70
2025-05-08 11:00:00,2025-05-07 12:13:35,57,54,33,67
2025-05-08 11:30:00,2025-05-07 12:13:35,83,51,40,75
2025-05-08 12:00:00,2025-05-07 12:13:35,87,55,39,71
2025-05-08 12:30:00,2025-05-07 12:13:35,77,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:35,79,56,42,77
2025-05-08 13:30:00,2025-05-07 12:13:35,91,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:35,78,54,44,65
2025-05-08 14:30:00,2025-05-07 12:13:35,77,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:35,0,55,37,68
2025-05-08 15:30:00,2025-05-07 12:13:35,81,60,50,72
2025-05-08 16:00:00,2025-05-07 12:13:35,82,51,38,59
2025-05-08 11:00:00,2025-05-07 12:13:40,57,54,33,67
2025-05-08 11:30:00,2025-05-07 12:13:40,83,48,40,75
2025-05-08 12:00:00,2025-05-07 12:13:40,87,55,39,71
2025-05-08 12:30:00,2025-05-07 12:13:40,77,57,48,70
2025-05-08 13:00:00,2025-05-07 12:13:40,79,56,42,77
2025-05-08 13:30:00,2025-05-07 12:13:40,91,57,49,77
2025-05-08 14:00:00,2025-05-07 12:13:40,78,54,44,65
2025-05-08 14:30:00,2025-05-07 12:13:40,77,60,45,75
2025-05-08 15:00:00,2025-05-07 12:13:40,0,55,37,68
2025-05-08 15:30:00,2025-05-07 12:13:40,81,60,50,72
2025-05-08 16:00:00,2025-05-07 12:13:40,71,51,38,59
2025-05-08 11:00:00,2025-05-07 12:13:45,57,54,33,67
